,Property_Name,Property_Type,Area_in_Sft,Price,Page_No.,bhk,Posted_On
1334,,Residential land / Plot in Gajulramaram,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 1.25 Cr₹ 6,944/sq.ft.",54,,"Posted on 08th Aug, 2021 by Owner"
1335,heera towers,3 BHK Residential Apartment in Basheer Bagh,"1,672 sq.ft. (155 sq.m.) Carpet Area","₹ 1.2 Cr₹ 7,177/sq.ft.",54,3 BHK3 Baths,"Posted on 08th Aug, 2021 by Owner"
1336,JP Heights,2 BHK Residential Apartment in Shalivahana Nagar,870 sq.ft. (81 sq.m.) Carpet Area,"₹ 46 Lac₹ 5,287/sq.ft.",54,2 BHK2 Baths,"Posted on 08th Aug, 2021 by Owner"
1337,,Residential land / Plot in Ankushapur,"2,700 sq.ft. (251 sq.m.) Plot Area","₹ 1.5 Cr₹ 5,555/sq.ft.",54,,"Posted on 08th Aug, 2021 by Owner"
1338,Cybercity Marina Skies,2 BHK Residential Apartment in Moosapet,"1,160 sq.ft. (108 sq.m.) Carpet Area","₹ 99 Lac₹ 7,500/sq.ft.",54,2 BHK2 Baths,"Posted on 08th Aug, 2021 by Owner"
1339,,Residential land / Plot in Boduppal,"1,350 sq.ft. (125 sq.m.) Plot Area","₹ 75 Lac₹ 5,556/sq.ft.",54,,"Posted on 08th Aug, 2021 by Owner"
1340,Honer Vivantis,2 BHK Residential Apartment in Tellapur,"1,290 sq.ft. (120 sq.m.) Carpet Area","₹ 90 Lac₹ 7,131/sq.ft.",54,2 BHK2 Baths,"Posted on 08th Aug, 2021 by Owner"
1341,"Tejaswitower,Phase 6, KSBakers lane,forum mall",2 BHK Residential Apartment in Kukatpally housing board colony,"1,200 sq.ft. (111 sq.m.) Carpet Area","₹ 75 Lac₹ 6,250/sq.ft.",54,2 BHK2 Baths,"Posted on 08th Aug, 2021 by Owner"
1342,,Residential land / Plot in rachalur,"77,597 sq.ft. (7209 sq.m.) Plot Area",₹ 96 Lac₹ 123/sq.ft.,54,,"Posted on 08th Aug, 2021 by Owner"
1343,al waha appartment,4 BHK Residential Apartment in Ahmed colony,"1,850 sq.ft. (172 sq.m.) Carpet Area","₹ 47 Lac₹ 2,540/sq.ft.",54,4 BHK2 Baths,"Posted on 08th Aug, 2021 by Owner"
1344,Venkatadri Hights,2 BHK Residential Apartment in Narapally,"1,085 sq.ft. (101 sq.m.) Carpet Area","₹ 53 Lac₹ 4,884/sq.ft.",54,2 BHK2 Baths,"Posted on 08th Aug, 2021 by Owner"
1345,Rainbow Heights,2 BHK Residential Apartment in Vanasthalipuram,"1,000 sq.ft. (93 sq.m.) Carpet Area","₹ 52 Lac₹ 5,200/sq.ft.",54,2 BHK2 Baths,"Posted on 08th Aug, 2021 by Owner"
1346,Classic Avenue,2 BHK Residential Apartment in Pragathi Enclave,"1,060 sq.ft. (98 sq.m.) Super built-up Area","₹ 55 Lac₹ 5,188/sq.ft.",54,2 BHK2 Baths,"Posted on 08th Aug, 2021 by Owner"
1347,sb constructions,3 BHK Residential Apartment in Old Bowenpally,"1,405 sq.ft. (131 sq.m.) Built-up Area","₹ 67.5 Lac₹ 4,804/sq.ft.",54,3 BHK3 Baths,"Posted on 08th Aug, 2021 by Owner"
1348,Pranav Enclave,1 BHK Residential Apartment in Dilsukh Nagar,554 sq.ft. (51 sq.m.) Carpet Area,"₹ 26 Lac₹ 4,693/sq.ft.",54,1 BHK1 Bath,"Posted on 08th Aug, 2021 by Owner"
1349,C-266,3 Bedroom Independent House in Near Red Tank,"2,403 sq.ft. (223 sq.m.) Plot Area","₹ 2.3 Cr₹ 9,571/sq.ft.",54,3 BHK3 Baths,"Posted on 08th Aug, 2021 by Owner"
1350,,1 Bedroom Independent House in Nadargul,141 sq.ft. (13 sq.m.) Plot Area,"₹ 33 Lac₹ 23,404/sq.ft.",55,1 BHK1 Bath,"Posted on 08th Aug, 2021 by Owner"
1351,,Residential property in Maheshwaram,"43,560 sq.ft. (4047 sq.m.) Plot Area",₹ 1.6 Cr₹ 367/sq.ft.,55,,"Posted on 08th Aug, 2021 by Owner"
1352,Pranav Enclave,1 BHK Residential Apartment in Dilsukhnagar,554 sq.ft. (51 sq.m.) Carpet Area,"₹ 26 Lac₹ 4,693/sq.ft.",55,1 BHK2 Baths,"Posted on 08th Aug, 2021 by Owner"
1353,Adams colony aditya nagar,4 BHK Residential Apartment in Aditya Nagar,"1,560 sq.ft. (145 sq.m.) Carpet Area","₹ 80 Lac₹ 5,128/sq.ft.",55,4 BHK3 Baths,"Posted on 08th Aug, 2021 by Owner"
1354,prashant hills,3 BHK Residential Apartment in Prashanthi Hills,"1,665 sq.ft. (155 sq.m.) Super built-up Area","₹ 1.4 Cr₹ 8,408/sq.ft.",55,3 BHK3 Baths,"Posted on 08th Aug, 2021 by Owner"
1355,,Residential land / Plot in Ghatkesar,"2,160 sq.ft. (201 sq.m.) Plot Area","₹ 55.2 Lac₹ 2,556/sq.ft.",55,,"Posted on 08th Aug, 2021 by Owner"
1356,Bhagya Lakshmi Apartment ,3 BHK Residential Apartment in Uppal,"1,590 sq.ft. (148 sq.m.) Built-up Area","₹ 75 Lac₹ 4,716/sq.ft.",55,3 BHK3 Baths,"Posted on 08th Aug, 2021 by Owner"
1357,,"Residential land / Plot in nagole,bandlaguda,tatianaram",167 sq.ft. (16 sq.m.) Plot Area,"₹ 66.8 Lac₹ 40,000/sq.ft.",55,,"Posted on 08th Aug, 2021 by Owner"
1358,,3 BHK Independent Builder Floor in Swarnapuri Colony II,"1,900 sq.ft. (177 sq.m.) Super built-up Area","₹ 86 Lac₹ 4,526/sq.ft.",55,3 BHK3 Baths,"Posted on 08th Aug, 2021 by Owner"
1359,,Residential land / Plot in Borabanda,900 sq.ft. (84 sq.m.) Plot Area,"₹ 80 Lac₹ 8,889/sq.ft.",55,,"Posted on 07th Aug, 2021 by Owner"
1360,,"2 Bedroom Independent House in Ayyapa Society, Colony, Dammaiguda","1,386 sq.ft. (129 sq.m.) Plot Area","₹ 1 Cr₹ 7,215/sq.ft.",55,2 BHK2 Baths,"Posted on 07th Aug, 2021 by Owner"
1361,Reliance Kohinoor,3 BHK Residential Apartment in Mehdipatnam,"1,606 sq.ft. (149 sq.m.) Carpet Area","₹ 90 Lac₹ 5,603/sq.ft.",55,3 BHK3 Baths,"Posted on 07th Aug, 2021 by Owner"
1362,Elite City,Residential land / Plot in Srisailam Highway,267 sq.ft. (25 sq.m.) Plot Area,"₹ 20 Lac₹ 7,490/sq.ft.",55,,"Posted on 07th Aug, 2021 by Owner"
1363,Viceroy Sapphire Block-1,5 BHK Residential Apartment in Upparpally,"3,000 sq.ft. (279 sq.m.) Carpet Area","₹ 1.2 Cr₹ 4,000/sq.ft.",55,5 BHK4 Baths,"Posted on 07th Aug, 2021 by Owner"
1364,Samyukta tranquilla,3 BHK Residential Apartment in Ameerpet,"1,627 sq.ft. (151 sq.m.) Built-up Area","₹ 1.15 Cr₹ 7,187/sq.ft.",55,3 BHK3 Baths,"Posted on 07th Aug, 2021 by Owner"
1365,Adarsh Vihar Apartments,4 BHK Residential Apartment in Adarsh Nagar,"1,925 sq.ft. (179 sq.m.) Super built-up Area","₹ 1.4 Cr₹ 7,272/sq.ft.",55,4 BHK3 Baths,"Posted on 07th Aug, 2021 by Owner"
1366,,Residential land / Plot in Timarpur,"4,180 sq.ft. (388 sq.m.) Plot Area","₹ 80 Lac₹ 1,913/sq.ft.",55,,"Posted on 07th Aug, 2021 by Owner"
1367,Sri Jagathswapna Sparkle Meadows,Residential land / Plot in Aushapur,"2,160 sq.ft. (201 sq.m.) Plot Area","₹ 28 Lac₹ 1,333/sq.ft.",55,,"Posted on 07th Aug, 2021 by Owner"
1368,,Residential land / Plot in Shadnagar,190 sq.ft. (18 sq.m.) Plot Area,"₹ 9 Lac₹ 4,736/sq.ft.",55,,"Posted on 07th Aug, 2021 by Owner"
1369,Janachaitanya,Residential land / Plot in Pulimamidi,"2,196 sq.ft. (204 sq.m.) Plot Area","₹ 34.16 Lac₹ 1,556/sq.ft.",55,,"Posted on 07th Aug, 2021 by Owner"
1370,Bandlaguda jagir,"4 Bedroom Independent House in Bhavani Colony, street no. 1,plot no. 31","2,400 sq.ft. (223 sq.m.) Plot Area","₹ 1.33 Cr₹ 5,541/sq.ft.",55,4 BHK4 Baths,"Posted on 07th Aug, 2021 by Owner"
1371,"Open Plots ,Bhongiri",Residential property in Bhongir,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 30 Lac₹ 1,667/sq.ft.",55,,"Posted on 07th Aug, 2021 by Owner"
1372,Sree Mahitha Golden Galaxy,3 BHK Residential Apartment in Galaxy,"1,350 sq.ft. (125 sq.m.) Super built-up Area","₹ 90 Lac₹ 6,666/sq.ft.",55,3 BHK3 Baths,"Posted on 07th Aug, 2021 by Owner"
1373,,Residential land / Plot in Shad nagar,185 sq.ft. (17 sq.m.) Plot Area,"₹ 15 Lac₹ 6,486/sq.ft.",55,,"Posted on 06th Aug, 2021 by Owner"
1374,Sasi Kala Residency,2 BHK Residential Apartment in Bandari Layout,"1,090 sq.ft. (101 sq.m.) Carpet Area","₹ 48 Lac₹ 4,128/sq.ft.",55,2 BHK2 Baths,"Posted on 06th Aug, 2021 by Owner"
1375,,"2 BHK Independent Builder Floor in Indra Reddy Nagar, Bandlaguda Jagir, Appa Junction","1,080 sq.ft. (100 sq.m.) Super built-up Area","₹ 1 Cr₹ 9,259/sq.ft.",56,2 BHK1 Bath,"Posted on 06th Aug, 2021 by Owner"
1376,,Residential land / Plot in Janachaitanya Colony,"1,962 sq.ft. (182 sq.m.) Plot Area","₹ 54,000₹ 27/sq.ft.",56,,"Posted on 06th Aug, 2021 by Owner"
1377,,Residential land / Plot in Rudraram,"1,076 sq.ft. (100 sq.m.) Plot Area","₹ 40 Lac₹ 3,716/sq.ft.",56,,"Posted on 06th Aug, 2021 by Owner"
1378,,5 Bedroom Independent House in Medchal,"1,080 sq.ft. (100 sq.m.) Plot Area","₹ 3 Cr₹ 27,778/sq.ft.",56,5 BHK5 Baths,"Posted on 06th Aug, 2021 by Owner"
1379,,2 BHK Independent Builder Floor in Shanthi Sree Nagar Colony Ameenpur,"1,350 sq.ft. (125 sq.m.) Super built-up Area","₹ 50 Lac₹ 3,333/sq.ft.",56,2 BHK2 Baths,"Posted on 06th Aug, 2021 by Owner"
1380,,Residential land / Plot in Siddapur,900 sq.ft. (84 sq.m.) Plot Area,₹ 5.5 Lac₹ 611/sq.ft.,56,,"Posted on 06th Aug, 2021 by Owner"
1381,,4 Bedroom Independent House in Kishan bagh,"2,583 sq.ft. (240 sq.m.) Plot Area","₹ 1.4 Cr₹ 5,420/sq.ft.",56,4 BHK5 Baths,"Posted on 06th Aug, 2021 by Owner"
1382,,2 Bedroom Independent House in Attapur,864 sq.ft. (80 sq.m.) Plot Area,"₹ 1.1 Cr₹ 12,731/sq.ft.",56,2 BHK2 Baths,"Posted on 06th Aug, 2021 by Owner"
1383,,Residential land / Plot in Pedda Golconda,"3,105 sq.ft. (288 sq.m.) Plot Area","₹ 48.3 Lac₹ 1,556/sq.ft.",56,,"Posted on 06th Aug, 2021 by Owner"
1384,Silver Leaf,3 Bedroom Independent House in Dullapally,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 1.96 Cr₹ 11,000/sq.ft.",56,3 BHK4 Baths,"Posted on 06th Aug, 2021 by Owner"
1385,,Residential land / Plot in Pedda Mangalaram,"2,412 sq.ft. (224 sq.m.) Plot Area","₹ 33.5 Lac₹ 1,389/sq.ft.",56,,"Posted on 06th Aug, 2021 by Owner"
1386,Asbestos Colony,3 Bedroom Independent House in Asbestos Hills Colony IDA Kukatpally,"1,080 sq.ft. (100 sq.m.) Built-up Area","₹ 90 Lac₹ 8,333/sq.ft.",56,3 BHK2 Baths,"Posted on 06th Aug, 2021 by Owner"
1387,Vishnu Nivas,10 Bedroom Independent House in Sun City,"2,700 sq.ft. (251 sq.m.) Plot Area","₹ 4.2 Cr₹ 15,556/sq.ft.",56,10 BHK9 Baths,"Posted on 06th Aug, 2021 by Owner"
1388,On Request,"2 BHK Residential Apartment in Srinivasa nagar colony, nizampet","1,200 sq.ft. (111 sq.m.) Super built-up Area","₹ 50 Lac₹ 4,167/sq.ft.",56,2 BHK2 Baths,"Posted on 06th Aug, 2021 by Owner"
1389,SuvarnaAvanis Golden Glory,Residential land / Plot in Kothur,"1,080 sq.ft. (100 sq.m.) Plot Area",₹ 9 Lac₹ 833/sq.ft.,56,,"Posted on 06th Aug, 2021 by Owner"
1390,,7 Bedroom Independent House in Kapra,"2,394 sq.ft. (222 sq.m.) Plot Area","₹ 2.5 Cr₹ 10,443/sq.ft.",56,7 BHK7 Baths,"Posted on 06th Aug, 2021 by Owner"
1391,nul,2 BHK Independent Builder Floor in Kothapet,"1,500 sq.ft. (139 sq.m.) Super built-up Area","₹ 96 Lac₹ 6,400/sq.ft.",56,2 BHK2 Baths,"Posted on 06th Aug, 2021 by Owner"
1392,,5 Bedroom Independent House in Subhash Nagar,"1,350 sq.ft. (125 sq.m.) Plot Area","₹ 1.25 Cr₹ 9,259/sq.ft.",56,5 BHK5 Baths,"Posted on 06th Aug, 2021 by Owner"
1393,,4 Bedroom Independent House in Muttangi,"1,260 sq.ft. (117 sq.m.) Plot Area","₹ 87 Lac₹ 6,905/sq.ft.",56,4 BHK5 Baths,"Posted on 06th Aug, 2021 by Owner"
1394,,Residential land / Plot in Pasumamula,"1,395 sq.ft. (130 sq.m.) Plot Area","₹ 40 Lac₹ 2,777/sq.ft.",56,,"Posted on 06th Aug, 2021 by Owner"
1395,,Residential land / Plot in Asif Nagar,"1,224 sq.ft. (114 sq.m.) Plot Area","₹ 1.4 Cr₹ 11,438/sq.ft.",56,,"Posted on 06th Aug, 2021 by Owner"
1396,,Residential land / Plot in phisalbanda,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 68 Lac₹ 3,778/sq.ft.",56,,"Posted on 06th Aug, 2021 by Owner"
1397,Aliens Space Station,3 BHK Residential Apartment in Gachibowli,"2,132 sq.ft. (198 sq.m.) Super built-up Area","₹ 1.3 Cr₹ 6,097/sq.ft.",56,3 BHK3 Baths,"Posted on 06th Aug, 2021 by Owner"
1398,,Residential land / Plot in Shad nagar,"1,980 sq.ft. (184 sq.m.) Plot Area",₹ 15 Lac₹ 758/sq.ft.,56,,"Posted on 06th Aug, 2021 by Owner"
1399,,Residential land / Plot in Shad nagar,"1,080 sq.ft. (100 sq.m.) Plot Area",₹ 8.5 Lac₹ 787/sq.ft.,56,,"Posted on 06th Aug, 2021 by Owner"
1400,,6 Bedroom Independent House in Chintal,"1,836 sq.ft. (171 sq.m.) Plot Area","₹ 2 Cr₹ 10,893/sq.ft.",57,6 BHK8 Baths,"Posted on 06th Aug, 2021 by Owner"
1401,,Residential land / Plot in Vanasthalipuram,675 sq.ft. (63 sq.m.) Plot Area,"₹ 59 Lac₹ 8,741/sq.ft.",57,,"Posted on 06th Aug, 2021 by Owner"
1402,BK PURAM,5 Bedroom Independent House in Mailardevpally,"1,350 sq.ft. (125 sq.m.) Plot Area","₹ 1.1 Cr₹ 8,148/sq.ft.",57,5 BHK4 Baths,"Posted on 06th Aug, 2021 by Owner"
1403,,Residential land / Plot in Suraram,"1,278 sq.ft. (119 sq.m.) Plot Area","₹ 60 Lac₹ 4,695/sq.ft.",57,,"Posted on 06th Aug, 2021 by Owner"
1404,,10 Bedroom Independent House in HMT Swarnapuri Colony,"2,700 sq.ft. (251 sq.m.) Plot Area","₹ 2.1 Cr₹ 7,037/sq.ft.",57,10 BHK2 Baths,"Posted on 06th Aug, 2021 by Owner"
1405,kings villas,5 Bedroom Independent House in Shastripuram,"2,640 sq.ft. (245 sq.m.) Carpet Area","₹ 1.85 Cr₹ 7,007/sq.ft.",57,5 BHK7 Baths,"Posted on 06th Aug, 2021 by Owner"
1406,Avalon Apartments,3 BHK Residential Apartment in Nanal Nagar,"1,770 sq.ft. (164 sq.m.) Super built-up Area","₹ 1.3 Cr₹ 7,344/sq.ft.",57,3 BHK3 Baths,"Posted on 06th Aug, 2021 by Owner"
1407,,6 Bedroom Independent House in Old Alwal,"5,000 sq.ft. (465 sq.m.) Plot Area","₹ 3.5 Cr₹ 7,000/sq.ft.",57,6 BHK6 Baths,"Posted on 06th Aug, 2021 by Owner"
1408,,Residential land / Plot in Kothur,"3,294 sq.ft. (306 sq.m.) Plot Area","₹ 60 Lac₹ 1,821/sq.ft.",57,,"Posted on 06th Aug, 2021 by Owner"
1409,Skyline and Sterling Residency,3 BHK Residential Apartment in Chandra Nagar,"2,100 sq.ft. (195 sq.m.) Carpet Area","₹ 1.5 Cr₹ 7,142/sq.ft.",57,3 BHK3 Baths,"Posted on 06th Aug, 2021 by Owner"
1410,Aditya Eden Park,3 BHK Residential Apartment in Defence Colony,"2,265 sq.ft. (210 sq.m.) Super built-up Area","₹ 1.45 Cr₹ 6,401/sq.ft.",57,3 BHK3 Baths,"Posted on 06th Aug, 2021 by Owner"
1411,,Residential land / Plot in Shastri Puram,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 67 Lac₹ 3,722/sq.ft.",57,,"Posted on 06th Aug, 2021 by Owner"
1412,,Residential land / Plot in ameenpur,900 sq.ft. (84 sq.m.) Plot Area,"₹ 17 Lac₹ 1,889/sq.ft.",57,,"Posted on 06th Aug, 2021 by Owner"
1413,suvarna sampda vahini\'s suvarna sampada,Residential land / Plot in Kothur,"1,197 sq.ft. (111 sq.m.) Plot Area","₹ 13.3 Lac₹ 1,333/sq.ft.",57,,"Posted on 06th Aug, 2021 by Owner"
1414,,4 Bedroom Independent House in langar house parallel road to Banjara Hills Road no 12,"2,205 sq.ft. (205 sq.m.) Plot Area","₹ 3 Cr₹ 13,605/sq.ft.",57,4 BHK2 Baths,"Posted on 06th Aug, 2021 by Owner"
1415,,5 Bedroom Independent House in Walker Town,"2,808 sq.ft. (261 sq.m.) Plot Area","₹ 3.25 Cr₹ 11,574/sq.ft.",57,5 BHK3 Baths,"Posted on 06th Aug, 2021 by Owner"
1416,Aditya Empress Heights,3 BHK Residential Apartment in Vivekanand Nagar,"1,760 sq.ft. (164 sq.m.) Super built-up Area","₹ 1.25 Cr₹ 7,102/sq.ft.",57,3 BHK3 Baths,"Posted on 05th Aug, 2021 by Owner"
1417,,"Residential land / Plot in Ghatupally, Maheswaram","2,250 sq.ft. (209 sq.m.) Plot Area","₹ 32.5 Lac₹ 1,444/sq.ft.",57,,"Posted on 05th Aug, 2021 by Owner"
1418,Spoorthy fortune,"Residential land / Plot in Kothur, mamidipally",400 sq.ft. (37 sq.m.) Plot Area,"₹ 25 Lac₹ 5,500/sq.ft.",57,,"Posted on 05th Aug, 2021 by Owner"
1419,,2 Bedroom Independent House in Venkatraya Nagar,"1,170 sq.ft. (109 sq.m.) Plot Area","₹ 2 Cr₹ 17,094/sq.ft.",57,2 BHK2 Baths,"Posted on 05th Aug, 2021 by Owner"
1420,SAILASREE RESIDENCY,2 BHK Residential Apartment in Kphb-Gajularamaram Rd,950 sq.ft. (88 sq.m.) Built-up Area,"₹ 39 Lac₹ 4,105/sq.ft.",57,2 BHK2 Baths,"Posted on 05th Aug, 2021 by Owner"
1421,ARK Towers,3 BHK Residential Apartment in Mayuri Nagar,"1,790 sq.ft. (166 sq.m.) Built-up Area","₹ 1.08 Cr₹ 6,033/sq.ft.",57,3 BHK3 Baths,"Posted on 05th Aug, 2021 by Owner"
1422,Siddhivinayaka,11 Bedroom Farm house in Sangareddy,"111,510 sq.ft. (10360 sq.m.) Plot Area",₹ 7 Cr₹ 628/sq.ft.,57,11 BHK15 Baths,"Posted on 05th Aug, 2021 by Owner"
1423,Wanhar Residency,2 BHK Residential Apartment in Bahadurpura,789 sq.ft. (73 sq.m.) Carpet Area,"₹ 19.99 Lac₹ 2,530/sq.ft.",57,2 BHK2 Baths,"Posted on 05th Aug, 2021 by Owner"
1424,,"Residential land / Plot in Nallagandla HUDA Layout , Lingampally","1,449 sq.ft. (135 sq.m.) Plot Area","₹ 2 Cr₹ 13,803/sq.ft.",57,,"Posted on 05th Aug, 2021 by Owner"
1425,Vb city by incor,2 BHK Residential Apartment in Bollaram,870 sq.ft. (81 sq.m.) Super built-up Area,"₹ 39.9 Lac₹ 5,183/sq.ft.",58,2 BHK2 Baths,"Posted on 05th Aug, 2021 by Owner"
1426,Sai Aakruthi Township,2 BHK Residential Apartment in Mallika Arjun Nagar,"1,130 sq.ft. (105 sq.m.) Super built-up Area","₹ 56 Lac₹ 4,601/sq.ft.",58,2 BHK2 Baths,"Posted on 05th Aug, 2021 by Owner"
1427,,6 Bedroom Independent House in Malkajgiri,"2,700 sq.ft. (251 sq.m.) Plot Area","₹ 3 Cr₹ 11,111/sq.ft.",58,6 BHK5 Baths,"Posted on 05th Aug, 2021 by Owner"
1428,Madina Enclave,4 BHK Residential Apartment in Sayeedabad Colony,"2,065 sq.ft. (192 sq.m.) Super built-up Area","₹ 85.6 Lac₹ 4,145/sq.ft.",58,4 BHK4 Baths,"Posted on 05th Aug, 2021 by Owner"
1429,Alluri Constructions,4 Bedroom Independent House in Bolarum,"2,205 sq.ft. (205 sq.m.) Plot Area","₹ 1.85 Cr₹ 8,390/sq.ft.",58,4 BHK6 Baths,"Posted on 05th Aug, 2021 by Owner"
1430,SLN Mayuri Meadows,2 BHK Residential Apartment in Mayuri Nagar,"1,160 sq.ft. (108 sq.m.) Super built-up Area","₹ 62 Lac₹ 5,344/sq.ft.",58,2 BHK2 Baths,"Posted on 05th Aug, 2021 by Owner"
1431,Land ,Residential land / Plot in Shadnagar,"87,120 sq.ft. (8094 sq.m.) Plot Area",₹ 1.56 Cr₹ 179/sq.ft.,58,,"Posted on 05th Aug, 2021 by Owner"
1432,,Residential land / Plot in Near Bypass road towards Hyd road,"1,800 sq.ft. (167 sq.m.) Plot Area",Price on Request,58,,"Posted on 05th Aug, 2021 by Owner"
1433,Provident Kenworth,1 BHK Residential Apartment in Rajendra Nagar,615 sq.ft. (57 sq.m.) Super built-up Area,"₹ 51 Lac₹ 8,292/sq.ft.",58,1 BHK1 Bath,"Posted on 05th Aug, 2021 by Owner"
1434,,Residential land / Plot in Bahadurpally,"2,500 sq.ft. (232 sq.m.) Plot Area","₹ 73 Lac₹ 2,920/sq.ft.",58,,"Posted on 05th Aug, 2021 by Owner"
1435,Carlton Creek,2 BHK Residential Apartment in Khajaguda,"1,053 sq.ft. (98 sq.m.) Carpet Area","₹ 85 Lac₹ 8,072/sq.ft.",58,2 BHK2 Baths,"Posted on 05th Aug, 2021 by Owner"
1436,,Residential land / Plot in lemoor,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 25.8 Lac₹ 1,433/sq.ft.",58,,"Posted on 05th Aug, 2021 by Owner"
1437,,Residential land / Plot in miyapur,"1,557 sq.ft. (145 sq.m.) Plot Area","₹ 1.55 Cr₹ 10,000/sq.ft.",58,,"Posted on 05th Aug, 2021 by Owner"
1438,Individual land,Residential land / Plot in Ameenpur,1 sq.ft. (0 sq.m.) Plot Area,"₹ 13.5 Cr₹ 77,142,857/sq.ft.",58,,"Posted on 05th Aug, 2021 by Owner"
1439,,2 BHK Independent Builder Floor in SV Nagar,750 sq.ft. (70 sq.m.) Built-up Area,"₹ 30 Lac₹ 4,000/sq.ft.",58,2 BHK2 Baths,"Posted on 05th Aug, 2021 by Owner"
1440,KP Infraa Developerrs,Residential land / Plot in Yadagirigutta,"1,980 sq.ft. (184 sq.m.) Plot Area","₹ 21 Lac₹ 1,061/sq.ft.",58,,"Posted on 05th Aug, 2021 by Owner"
1441,NCC Urban One,4 BHK Residential Apartment in Narsingi,"2,631 sq.ft. (244 sq.m.) Carpet Area","₹ 1.97 Cr₹ 7,487/sq.ft.",58,4 BHK4 Baths,"Posted on 05th Aug, 2021 by Owner"
1442,,Residential land / Plot in kodangal,"43,560 sq.ft. (4047 sq.m.) Plot Area",₹ 2.5 Lac₹ 6/sq.ft.,58,,"Posted on 05th Aug, 2021 by Owner"
1443,,Residential land / Plot in Kalwakurthy,150 sq.ft. (14 sq.m.) Plot Area,"₹ 6 Lac₹ 4,000/sq.ft.",58,,"Posted on 05th Aug, 2021 by Owner"
1444,"813, Road no. 25, ",3 BHK Independent Builder Floor in Vasanth Nagar Colony,"1,850 sq.ft. (172 sq.m.) Carpet Area","₹ 2.85 Cr₹ 15,405/sq.ft.",58,3 BHK3 Baths,"Posted on 05th Aug, 2021 by Owner"
1445,,5 BHK Independent Builder Floor in Banjara hills,"2,600 sq.ft. (242 sq.m.) Built-up Area","₹ 2.7 Cr₹ 10,384/sq.ft.",58,5 BHK4 Baths,"Posted on 05th Aug, 2021 by Owner"
1446,ASR BRINDAVAN COLONY,"Residential land / Plot in SJB HILLS (NEAR RENUKA ELLAMMA TEMPLE), Bachupally","1,350 sq.ft. (125 sq.m.) Plot Area","₹ 75 Lac₹ 5,556/sq.ft.",58,,"Posted on 05th Aug, 2021 by Owner"
1447,,3 Bedroom Independent House in LB Nagar,"3,600 sq.ft. (334 sq.m.) Plot Area","₹ 5 Cr₹ 13,889/sq.ft.",58,3 BHK3 Baths,"Posted on 05th Aug, 2021 by Owner"
1448,,2 BHK Independent Builder Floor in Bharat Nagar,"1,000 sq.ft. (93 sq.m.) Carpet Area","₹ 1.05 Cr₹ 10,500/sq.ft.",58,2 BHK2 Baths,"Posted on 05th Aug, 2021 by Owner"
1449,,Residential land / Plot in Shadnagar,"2,349 sq.ft. (218 sq.m.) Plot Area",₹ 15 Lac₹ 639/sq.ft.,58,,"Posted on 05th Aug, 2021 by Owner"
1450,santosh nagar cooperative society,8 Bedroom Independent House in Vivekananda Colony,"3,123 sq.ft. (290 sq.m.) Plot Area","₹ 4.25 Cr₹ 13,609/sq.ft.",59,8 BHK6 Baths,"Posted on 05th Aug, 2021 by Owner"
1451,,Residential land / Plot in khanapur,"1,620 sq.ft. (151 sq.m.) Plot Area","₹ 63 Lac₹ 3,889/sq.ft.",59,,"Posted on 05th Aug, 2021 by Owner"
1452,,Residential land / Plot in Khanapur,"1,629 sq.ft. (151 sq.m.) Plot Area","₹ 63 Lac₹ 3,867/sq.ft.",59,,"Posted on 05th Aug, 2021 by Owner"
1453,,Residential land / Plot in Hydershah kote,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 1.26 Cr₹ 7,000/sq.ft.",59,,"Posted on 05th Aug, 2021 by Owner"
1454,Balaji Nivas apartment,4 BHK Residential Apartment in Bapu Bagh Colony,"2,400 sq.ft. (223 sq.m.) Super built-up Area","₹ 2.53 Cr₹ 10,541/sq.ft.",59,4 BHK4 Baths,"Posted on 04th Aug, 2021 by Owner"
1455,Pranag,1 BHK Residential Apartment in YousufGuda,"2,043 sq.ft. (190 sq.m.) Carpet Area","₹ 1.8 Cr₹ 8,811/sq.ft.",59,1 BHK1 Bath,"Posted on 04th Aug, 2021 by Owner"
1456,,3 Bedroom Independent House in Maheshwaram,12 sq.ft. (1 sq.m.) Plot Area,"₹ 12.35 Cr₹ 10,288,044/sq.ft.",59,3 BHK3 Baths,"Posted on 04th Aug, 2021 by Owner"
1457,,4 Bedroom Independent House in Ameenpure,"1,413 sq.ft. (131 sq.m.) Plot Area","₹ 1.55 Cr₹ 10,970/sq.ft.",59,4 BHK6 Baths,"Posted on 04th Aug, 2021 by Owner"
1458,,Residential land / Plot in Bhongir,"1,494 sq.ft. (139 sq.m.) Plot Area","₹ 27 Lac₹ 1,807/sq.ft.",59,,"Posted on 04th Aug, 2021 by Owner"
